string,subtlex_us.fpmw,subtlex_us.cd
others,99.24,34.76
parents,140.73,34.6
month,95.18,34.51
across,94.14,34.48
besides,84.86,34.47
table,105.63,34.44
appreciate,85.75,34.39
ran,84.24,34.22
simple,89.31,34.11
suppose,125.8,34.02
bitch,168.8,33.97
secret,109.51,33.94
personal,91.67,33.71
blow,97.57,33.69
short,85.63,33.66
instead,79.27,33.64
near,83.1,33.55
fair,94.75,33.5
terrible,94.02,33.5
dream,133.29,33.49
relax,96.78,33.46
evening,120.69,33.42
smart,96.25,33.3
happening,90.55,33.29
clothes,101.14,33.26
wearing,86.47,33.26
win,134.65,33.24
cover,94.27,33.17
seven,104.45,33.14
finished,83.71,33.11
enjoy,82.78,33.01
road,111.94,32.98
um,219.55,32.98
interesting,86.69,32.82
tough,90.51,32.74
kiss,121.16,32.65
ma,185.8,32.64
surprise,88.9,32.64
forever,88.8,32.63
lying,87.69,32.58
floor,100.63,32.57
imagine,81.04,32.51
join,83.43,32.27
standing,78.31,32.21
music,151.65,32.18
bought,85.53,32.03
stopped,75.37,32.03
strong,86.86,32
eight,98.24,31.97
completely,84.37,31.94
charge,89.39,31.89
interested,85.76,31.82
state,107.84,31.82
count,89.96,31.65
certain,85.37,31.64
daddy,185.08,31.53
paid,85.67,31.46
dr,297.92,31.45
lunch,104.12,31.44
calls,80.33,31.43
future,103.49,31.37
dark,88.61,31.34
entire,79.8,31.32
missing,87.92,31.31
paper,103.35,31.31
team,147.61,31.27
present,89.45,31.26
proud,83.63,31.25
report,108,31.25
mess,78.14,31.16
hospital,124.2,31.13
return,91.69,31.13
realize,79.06,31.04
afternoon,91.49,30.96
weird,101.1,30.96
difference,79.73,30.91
swear,88.16,30.77
fix,86.78,30.71
pain,97.94,30.62
born,83.69,30.58
likes,76.25,30.53
war,174.75,30.35
pleasure,80.75,30.34
putting,67.98,30.25
figured,76.33,30.2
shit,474.65,30.17
strange,86.43,30.17
spent,70.08,30.15
million,120.49,30.14
neither,67.67,30.13
during,75.92,30.09
liked,78.76,30.07
law,116.31,30.01
lead,83.25,30.01
using,69.02,29.96
bag,94.04,29.9
situation,82.49,29.86
starting,69.76,29.8
age,79.2,29.79
sex,152.18,29.69
blue,102.39,29.65
lovely,95.16,29.48
whoa,157.31,29.48
walking,75.02,29.45
feels,69.98,29.42
calm,89.04,29.4
dance,148.04,29.39
cute,87.75,29.32
especially,67.22,29.32
deep,76.39,29.26
class,117.35,29.15
seat,78.78,29.12
holding,69.22,29.11
window,86,29.11
hungry,77.08,29.1
sell,92.25,29.1
picked,69.29,28.98
problems,77.08,28.93
message,91.51,28.9
fell,73,28.89
history,83.92,28.8
building,99.57,28.74
broken,71.25,28.72
quit,90.1,28.71
service,79.92,28.7
smell,83.14,28.56
voice,86.16,28.56
record,85.59,28.55
moved,69.33,28.54
grab,70.86,28.52
definitely,75.45,28.51
slow,76.02,28.48
dangerous,74.84,28.45
bother,67.37,28.41
killing,77.75,28.39
single,72.08,28.34
information,89.35,28.29
offer,74.71,28.27
favor,70.76,28.25
fool,89.33,28.25
amazing,81.71,28.24
gives,64.51,28.23
trip,82.39,28.21
named,69.88,28.12
upset,74.51,28.06
box,89.75,28.05
owe,74.16,28.05
third,74.53,28.03
hide,69.69,27.99
share,69.51,27.97
forward,72.33,27.91
earth,99.49,27.89
saved,69.76,27.89
boss,124.29,27.81
honest,72.33,27.79
speaking,69.9,27.73
buddy,102.88,27.67
wondering,63.35,27.63
usually,63.02,27.62
stuck,66.65,27.56
loves,72.45,27.4
th,97.82,27.29
twice,62.57,27.27
totally,85.82,27.25
jesus,161.18,27.1
whose,62.49,27.09
goodbye,116.51,27.04
ground,72.47,27
respect,71.45,27
agree,64.67,26.99
driving,74.12,26.99
tv,101.94,26.98
prove,70.39,26.96
private,75.96,26.91
whether,67.14,26.86
listening,62.84,26.85
congratulations,70.9,26.8
beginning,63.12,26.73
system,91.51,26.7
lived,66.04,26.57
bar,85.98,26.47
mention,59.47,26.36
forgive,76.8,26.34
position,72.08,26.12
dress,87.2,26.06
seriously,64.12,26.06
carry,65.9,26
plenty,62.31,26
accident,81.29,25.99
list,80.59,25.94
notice,59.25,25.87
doubt,62.84,25.81
key,86.86,25.81
involved,67.94,25.8
kick,73.41,25.79
protect,70.25,25.76
promised,62.14,25.75
area,74.92,25.74
joke,73.02,25.73
club,98.78,25.7
upstairs,70.73,25.69
teach,72.84,25.63
idiot,66.22,25.6
obviously,60.43,25.58
store,81.92,25.57
hundred,78.73,25.49
gotten,54.27,25.44
normal,70.37,25.44
ya,150.27,25.41
sake,64.16,25.39
admit,59.2,25.33
nose,69.75,25.33
difficult,60.16,25.25
fly,85,25.24
ought,80.75,25.15
card,85.43,25.12
public,71.08,25.12
blame,58.78,25.1
bunch,58.88,25.1
eating,60.82,25.1
nervous,67.16,25.1
wall,70.69,25.1
rich,80.39,25.08
push,70.55,25.07
movie,122.96,25.05
station,79.08,25.02
surprised,55.06,25.02
group,73.76,25
test,84.08,24.98
hmm,103.75,24.95
awful,63.41,24.94
visit,58.69,24.93
american,102.22,24.92
fit,57.59,24.92
knock,64.69,24.89
worst,56.35,24.88
staying,59.61,24.86
dying,66.98,24.85
york,138.61,24.76
ring,92.75,24.74
land,88.12,24.73
ball,104.96,24.68
extra,59.16,24.68
grow,59.49,24.61
miles,88.24,24.61
learned,58.12,24.57
dirty,66.45,24.56
impossible,59.12,24.56
lots,60.16,24.52
fighting,70.8,24.51
foot,64.92,24.49
fat,79.43,24.39
marry,104.35,24.39
murder,112.1,24.39
security,94.31,24.39
keeps,52.57,24.33
low,59.14,24.33
sleeping,59.35,24.33
soul,76.96,24.33
keeping,51.14,24.32
rid,59.84,24.25
spot,61.57,24.19
officer,103.24,24.15
hotel,103.22,24.09
wrote,71.16,24.09
shoes,74.16,24.07
often,57.35,24.05
drunk,76.55,24.03
losing,53.37,24.03
begin,56.98,24
english,74.06,23.93
sad,63.37,23.88
seconds,70.65,23.84
crap,61.78,23.8
john,193.67,23.8
cost,54.92,23.78
brain,77.02,23.77
lord,138.16,23.77
reach,56.92,23.76
experience,60.55,23.74
ridiculous,55.61,23.71
reading,61.43,23.7
force,70.67,23.66
within,59.16,23.64
tells,52.25,23.62
favorite,59.45,23.53
ice,79.55,23.53
jump,69.82,23.52
places,53.06,23.52
c,91.67,23.51
double,62.71,23.51
nine,67.47,23.47
suddenly,55.96,23.45
breakfast,66.29,23.44
consider,52.47,23.43
hoping,49.88,23.43
neck,59.51,23.38
waste,53.25,23.37
attack,75.55,23.33
sun,69.67,23.33
folks,76.04,23.3
fresh,54.51,23.28
lay,58.24,23.26
bigger,54.22,23.22
girlfriend,76.1,23.2
song,93.69,23.2
arm,65.41,23.19
suit,68.61,23.15
helping,50.75,23.14
ourselves,52.47,23.06
everywhere,51.78,23.04
laugh,62.86,23.03
rules,67.41,23.03
seemed,54.25,22.94
college,85.18,22.9
ways,51.63,22.9
decide,50.41,22.89
hanging,53.63,22.89
cash,72.43,22.88
field,70.2,22.88
type,60.65,22.85
passed,51.59,22.83
roll,63.27,22.82
fear,69.08,22.79
green,72.47,22.75
darling,129.67,22.73
walked,53.67,22.73
rock,86.16,22.71
cry,65.65,22.65
turns,50.04,22.63
round,66.53,22.59
holy,68.14,22.52
honor,96.31,22.5
arms,59.8,22.45
plans,56.22,22.45
smoke,65.43,22.45
machine,70.25,22.41
gift,64.51,22.38
warm,52.14,22.38
park,72.12,22.35
b,84.1,22.34
raise,55.2,22.32
relationship,67.69,22.29
feelings,57.61,22.28
bill,118.45,22.27
peace,69.61,22.26
complete,51.69,22.25
lock,56.57,22.25
uncle,124.06,22.23
angry,58.98,22.22
closed,54.08,22.2
accept,52.78,22.19
hardly,51.24,22.15
action,61.08,22.14
silly,57.1,22
legs,55.59,21.97
glass,60.71,21.95
court,100.73,21.92
bathroom,61.67,21.88
treat,51.88,21.88
pulled,48.78,21.84
sweetheart,64.16,21.82
boyfriend,72.24,21.8
interest,50.94,21.79
showed,47.55,21.78
contact,64.8,21.77
taste,51.31,21.76
herself,52.45,21.72
willing,49.25,21.72
apart,47.02,21.71
star,81.35,21.71
possibly,48.9,21.69
wind,59.37,21.67
upon,62.73,21.66
kitchen,58.31,21.64
dropped,48.67,21.63
acting,52.45,21.61
further,52.75,21.61
tight,50.92,21.61
decision,55.06,21.58
corner,52.53,21.53
beer,75.49,21.52
quickly,56.49,21.51
thousand,69.29,21.48
pictures,68.18,21.47
played,56.27,21.45
helped,46.82,21.42
lately,48.22,21.4
names,53.84,21.38
conversation,49.86,21.33
department,63.84,21.32
pardon,64.65,21.32
captain,208.27,21.28
books,67.76,21.26
crime,71.24,21.24
dollars,78.39,21.24
knowing,45.24,21.23
steal,53.33,21.23
america,77.92,21.22
above,48.88,21.2
bottom,49.92,21.2
wild,57.31,21.19
smile,58,21.16
apartment,83.04,21.15
bringing,44.75,21.13
partner,75.22,21.13
track,55.75,21.13
ok,508.39,21.11
scene,74.65,21.11
pants,58.75,21.1
themselves,45.94,21.05
empty,47.24,21.03
comfortable,47.22,21.02
major,104.76,20.98
train,95.06,20.98
letter,82.61,20.96
continue,49.55,20.92
evidence,85,20.92
excellent,52.71,20.92
hole,58.22,20.92
ooh,94.65,20.92
drinking,52.65,20.9
marriage,77.06,20.83
sing,97.59,20.82
locked,52.35,20.68
fuck,378.57,20.67
dreams,64.41,20.65
allowed,44.82,20.61
apparently,47.35,20.61
hat,64.18,20.6
yep,50.98,20.57
christ,90.14,20.53
l,94.92,20.53
leaves,45.41,20.49
starts,45.78,20.43
due,44.61,20.41
excited,48.61,20.41
final,49.67,20.41
nuts,53.51,20.41
lights,56.41,20.39
dressed,46.94,20.36
fish,83.49,20.36
somehow,45.29,20.36
checked,46.71,20.35
asleep,49.82,20.33
jail,70.63,20.33
stole,53.16,20.33
necessary,45.98,20.29
cross,55.04,20.27
risk,49.04,20.27
fill,43.94,20.24
size,46.14,20.21
cops,84.12,20.2
south,64.47,20.18
arrest,59.55,20.16
plane,95.53,20.16
address,52.27,20.12
closer,45.67,20.12
heavy,47.29,20.12
king,129.25,20.12
dare,55.41,20.11
lawyer,79.51,20.1
apologize,49.37,20.09
concerned,44.33,20.09
press,60.2,20.06
board,64.16,20.05
deserve,43.73,20.05
advice,47.98,20.02
sight,45.31,19.99
discuss,45.67,19.97
space,66.06,19.96
birthday,97.22,19.93
bastard,65.65,19.9
whoever,43.2,19.9
following,45.29,19.87
otherwise,41.55,19.87
noticed,41.78,19.86
crying,53.12,19.84
allow,44.37,19.79
support,50.73,19.77
pressure,53.12,19.73
wedding,101.43,19.72
common,44.61,19.69
afford,44.43,19.67
jack,251.59,19.67
emergency,54.43,19.62
easier,39.45,19.6
price,53.37,19.6
beg,50.98,19.59
p,65.59,19.59
burn,55.22,19.56
sold,52.06,19.56
