string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
abramoff,1.47,name
abramovic,2,name
abramovich,2.79,name
abramowitz,1.47,name
abrams,2.13,name
abrasion,2.32,noun
abrasions,2.48,noun
abrasive,2.79,adjective
abrasiveness,1.3,noun
abrasives,1.39,noun
abraxas,1.6,name
abre,1.17,name
abreast,2.8,noun
abred,1.17,adjective
abrene,1.17,name
abrest,1.17,adjective
abreu,1.77,name
abreuve,1.47,name
abri,1.39,name
abrial,1.6,name
abridge,2.06,name
abridged,1.97,adjective
abridgement,1.17,noun
abril,1.17,name
abroad,4.34,adverb
abrogate,1.3,verb
abrogated,1.17,adjective
abrogating,1.3,verb
abrogation,1.47,noun
abronhill,1.3,name
abror,1.17,noun
abrotanoid,1.39,name
abrought,1.17,adjective
abrupt,3.04,adjective
abruption,2.06,noun
abruptly,2.83,adverb
abruptness,1.3,noun
abruzzo,1.54,name
abs,3.45,name
absalom,1.7,name
absalon,1.3,name
abscess,2.95,noun
abscesses,2.23,noun
abschlussprufung,1.17,name
abscond,2.26,verb
absconded,2.41,verb
absconding,2.04,verb
absconds,1.54,noun
abse,1.74,name
abseil,2.74,verb
abseiled,2.23,verb
abseiler,1.17,noun
abseilers,1.47,noun
abseiling,2.89,verb
abseils,1.17,verb
absence,3.89,noun
absences,2.2,noun
absent,3.51,adjective
absented,1.6,adjective
absentee,2.94,adjective
absenteeism,2.3,noun
absentees,2.11,noun
absentia,1.84,noun
absenting,1.17,adjective
absentminded,1.47,adjective
absentmindedly,1.3,adverb
abshire,1.17,name
absinthe,2.68,noun
absinthium,1.3,adjective
abso,2.44,name
absol,1.17,adjective
absolu,1.39,name
absolument,1.9,name
absolumpley,1.17,adjective
absolumply,1.6,adverb
absolut,2.04,name
absolute,4.62,adjective
absolutely,5.58,adverb
absolutement,1.17,noun
absolutes,2.13,noun
absoluticus,1.17,noun
absolution,2.16,noun
absolutism,1.84,noun
absolutist,1.7,adjective
absolve,2.47,verb
absolved,2.2,adjective
absolves,1.3,verb
absolving,1.6,verb
abson,1.17,name
absorb,3.65,verb
absorbable,1.17,adjective
absorbed,3.5,verb
absorbency,1.3,noun
absorbent,2.64,adjective
absorber,2.21,noun
absorbers,2.26,noun
absorbing,3.22,verb
absorbs,3.03,verb
absorption,2.65,noun
abstain,2.99,verb
abstained,2.69,verb
abstainers,1.3,noun
abstaining,2.32,verb
abstains,1.54,verb
abstemious,1.6,adjective
abstention,2.16,noun
abstentions,2.13,noun
abstinence,2.77,noun
abstinent,1.77,adjective
abstract,3.64,adjective
abstracted,1.93,adjective
abstracting,1.84,verb
abstraction,2.83,noun
abstractions,2.02,noun
abstractly,1.39,adverb
abstracts,1.93,noun
