string,cp.IMAG,cp.FAM
dinner,5.93,6.74
direction,3.83,5.94
dirt,6.1,6.15
dirty,4.84,6.29
disaster,5.1,5.88
discipline,3.57,5.47
disclosure,2.17,3.61
disconnection,3.57,4.08
discord,2.69,4.4
discouraged,3.72,6.13
discovery,4.13,5.43
discretion,2.27,4.49
discriminating,2.94,5.49
disease,4.87,6.2
disgrace,3.66,5.5
dismal,3.5,4.51
disobedient,3.56,5.52
disparity,2.7,3.18
disposition,2.93,4.98
distinction,2.7,5.12
distraction,3.23,5.49
disturber,4.1,4.71
diver,0,4.88
do,1.41,6.73
doctor,6.4,6
does,1.31,6.69
doghouse,0,4.8
dogma,2.38,3.45
dogmatic,2.47,3.6
dogs,6.53,6.33
doll,6.17,5.73
dollar,6.5,6.73
domicile,4.2,2.59
domineering,3.72,4.78
donors,4.81,4.92
door,6.6,6.6
doorman,6.4,4.84
doors,6,6.56
dotage,2.44,2.04
dove,6.53,4.55
downcast,3.44,4.41
dowry,4.44,2.94
dozen,4.97,6.18
dragon,0,4.65
drama,4.9,5.75
draw,4.19,5.73
dream,4.6,5.94
dreamer,5.33,5.65
dreaming,4.84,5.2
dress,6.53,6.35
drill,0,4.88
drink,5.22,6.87
drum,0,5.39
drunkard,5.38,5.22
dry,4.13,6.55
duct,0,4.08
dull,3.41,6.1
dumb,3.69,6.21
dummy,5.83,5.18
dust,6.03,6.04
duty,3.17,5.75
dweller,4.37,4.72
dynamic,3.59,5.29
dynasty,3.63,3.96
eager,3.53,5.96
eagle,6.13,4.56
ear,0,6.12
early,3.44,6.15
earth,6.27,6.47
easel,0,3.06
easier,2.16,6.1
easy,2.53,6.75
easygoing,3.78,5.65
eating,4.91,6.66
eccentric,3.5,4.62
eccentricity,3.77,3.98
economy,3.2,6.2
edifice,4.7,3.7
edition,3.4,5.39
efficient,2.91,5.43
effort,3.33,6.18
ego,2.9,5.37
egotistical,3.5,4.06
egress,1.84,1.59
elaboration,2.63,4.06
elbow,6.3,5.94
elephant,6.83,4.42
elf,0,3.81
ellipse,0,4.77
else,1.53,6.24
emancipation,3.2,3.71
embezzlement,3.17,4
embryo,0,3.96
emergency,5.03,6.11
emotion,0,5.85
emotional,4.44,6.06
emphatic,2.56,4.57
emporium,2.93,2.19
empty,4.38,6.26
encephalon,2.17,1.27
encore,4,3.5
encouraged,2.63,5.37
endured,2.81,4.94
enduring,2.59,5.11
energetic,4.03,5.43
engagement,4.7,5.75
engine,6.33,5.61
ensemble,4.63,4.35
entering,3.63,5.8
enterprise,3.07,4.58
enterprising,2.56,4.69
entertained,3.91,5.37
enthusiastic,3.81,5.62
entire,2.59,5.71
entry,3.19,5.32
envious,3.25,5.1
episode,3.37,4.71
epistle,4.23,3.27
equal,2.74,6.31
equity,2.23,3.59
errand,4.27,4.81
erupt,4.53,5.06
essence,2.33,4.24
essential,2.06,5.86
established,2.55,5.88
estimate,2.38,5.59
ethical,2.19,4.19
euphemism,0,2.35
europe,0,6.31
evangelist,4.97,3.63
even,3.03,6.19
event,2.9,6.14
every,1.78,6.71
evidence,3.23,5.24
evil,4.19,5.78
exact,2.31,6.46
exacting,2.41,4.49
exactitude,2.23,2.47
examination,6.07,6.39
examine,3,5.89
excellent,3.31,6.27
excessive,2.69,5.33
excitable,3.72,4.85
exciting,3.84,6.16
exclusion,2.8,3.94
excuse,2.77,6.27
executioner,0,4.58
exertion,4.33,4.33
exhaust,5.17,5.46
exhaustion,5.1,5.6
exhibit,3.44,5.04
exit,5.19,6.56
expected,2.44,5.83
expensive,3.78,6.73
explained,2.56,6.11
explanation,2.9,5.84
expose,3.06,4.86
exposed,3.94,5.37
expression,3.57,5.67
extensive,2.56,5.08
extermination,4.03,3.86
extravagant,3.88,5.13
exuberant,3.78,4.14
eye,0,6.44
fabric,5.6,5.17
facilitated,2,4.4
facility,2.73,5.23
fact,2.2,6.49
factor,2.13,5.37
factory,6.43,6.02
fail,3.53,6.47
fair,3.84,6.32
faked,2.69,5.27
falconer,4.03,2.08
fallacy,2.3,4.19
falling,4.29,5.67
false,2.66,6.43
family,5.81,6.42
famine,0,4.84
famous,3.44,5.96
fancy,3.55,5.77
fantasy,3.7,4.75
far,3.59,6.41
farther,2.42,6.06
farthing,3.91,2.66
fashion,5.3,5.46
fast,3.91,6.55
faster,3.13,6.39
fat,5.69,6.53
fate,2.37,5.32
fatigue,5.07,5.39
fault,2.83,5.96
favorite,2.91,6.37
feather,0,5.25
feeble,0,4.61
feet,6.06,6.68
feline,4.67,3.17
felled,3.75,3.31
fence,0,5.63
festivity,5.3,4.51
fetish,2.03,3.34
fetus,0,4.48
feudal,3.41,4.13
feudalism,3.83,3.67
few,2.69,6.72
fiber,4.22,4.29
fidgety,3.84,4.89
figment,2.3,3.92
figure,5.56,5.47
filter,4.91,5.29
final,3.84,6.14
find,2.81,6.37
fingers,6.25,6.36
finished,3.25,6.4
fiord,5.7,3.53
fire,6.7,6.4
fireman,0,5.44
fireplace,6.83,5.69
firmament,4.3,2.71
first,2.94,6.69
fish,0,5.94
fisherman,6.5,5.17
fixed,3,6.13
flag,6.6,6.1
flaming,5.16,5.06
flashlight,0,5.39
flask,6.5,4.41
flattered,3.33,5.3
flawless,3.84,4.53
flesh,6.13,5.2
flexibility,4,4.65
flighty,3.07,3.81
flippant,3.25,3.81
flipped,3.69,5.21
flocks,5.75,4.06
flood,6.33,5.57
flower,6.57,5.96
flutter,4.22,4.34
foam,6.33,5.02
foible,2.2,2.02
folded,4.13,5.6
folly,2.93,4.21
fond,3.28,5.96
foot,6.31,6.45
footballs,6.31,6
footwear,6.1,5.04
for,1.41,6.86
forbade,2.72,3.89
forehead,6.27,5.61
foreign,3.81,5.79
forest,6.63,5.58
forethought,2.57,3.71
forgetful,3.16,5.91
fork,6.57,6.04
form,4.3,5.92
format,0,5.33
formation,3.87,5.11
former,2.25,5.63
fortune,4.57,5.31
forward,2.84,6.36
founder,2.97,4.27
fowl,5.87,4.65
fox,6.73,5.29
franchise,2.9,3.63
frantic,3.75,4.96
free,3.69,6.73
freedom,3.83,6.31
freely,3.16,6.26
fresh,4.44,6.16
friars,4.88,3.57
friction,4.33,5.39
friend,6.37,6.7
friendly,4.25,6.44
frightened,4.38,6.11
frigid,4.59,4.84
frivolous,3.47,4.43
frog,6.73,5.69
from,1.72,6.85
front,4,6.35
frontage,4.57,3.69
fruit,5.53,6.19
frustrated,3.56,6.02
frying-pan,0,6.06
fulfilled,2.41,5
full,4.41,6.39
fun,5.23,6.61
function,2.19,5.59
functionary,1.77,2.96
funds,4.19,5.67
funny,4.63,6.57
fur,6.23,5.68
furnished,4.66,5.49
furniture,6.17,6.2
further,2.47,6.18
fury,4.31,4.53
fussy,3.75,4.81
gadfly,3.77,1.98
gaiety,5.63,5.04
galaxy,6,4.63
gallery,5.97,4.94
garden,6.73,5.43
garments,5.83,5
garret,4.13,2.16
gate,0,5.76
gaudy,4.34,4.2
gear,0,4.77
geese,6.53,4.63
gem,6.4,4.88
gender,2.9,4.91
genius,4.27,5.22
gentle,3.97,6.18
gentleman,6.2,6.06
get,1.66,6.67
ghost,5.37,5.06
giddy,4.41,3.78
gift,5.77,6
gilt,4.2,3.52
gingham,5.33,2.43
giraffe,0,4.21
girl,6.87,6.92
gist,1.97,3.65
give,3.38,6.64
glacier,6.07,4.49
glad,4.19,6.08
glazed,3.81,4.6
glitter,5.28,4.53
gloom,3.84,4.85
gloomy,4.22,5.27
glory,4.13,5.2
glum,3.53,3.94
glutton,5.77,4.1
go,3.25,6.78
goat,0,4.9
goblet,6.03,3.46
goddess,5.23,4.12
gold,6.47,6.1
golden,5.84,5.29
golf,6.7,5.71
good,3.13,6.9
good-natured,4.19,5.57
gore,4.67,3.37
gracious,3.72,4.73
graduation,6.03,6.08
grandmother,6.43,5.85
granny,5.63,5.11
graphic,3.13,4.08
graphite,4.19,3.57
grass,6.63,6.3
gratitude,3.7,4.98
gravity,3.6,5.33
great,3.69,6.58
greatly,2.41,6.1
greed,3.53,5.09
greedily,3.41,4.71
greedy,3.91,5.37
green,6.6,6.55
gregarious,2.91,2.82
grief,4.7,5.49
grocer,5.31,5.43
guaranteed,2.69,5.63
guardhouse,5.8,3.69
guitar,0,5.9
gullet,3.44,2.91
gullible,3.22,5.36
guns,6.13,6.11
gust,4.47,4.55
gutted,4.59,4.2
gymnastics,5.83,4.77
habitation,4.6,4.34
habitual,2.91,4.67
hairpin,6.13,4.55
hall,6.37,6.3
hamlet,5.87,4.36
hammer,6.73,5.47
hand,6,6.57
handcuffs,0,4.98
handful,4.91,5.88
hands,6.19,6.15
hankering,2.23,3.04
haphazard,3.03,4.53
happily,3.88,5.9
happiness,5.13,6.17
happy,4.72,6.71
harbor,6.06,4.88
hard,4.34,6.66
hardly,1.84,5.45
hardship,4.1,5.2
hardwood,5.77,4.73
harem,5.42,3.78
harness,5.1,4.44
harp,6.6,4.7
hasty,3.34,5.32
hat,0,6.18
hatred,3.97,5.84
have,1.61,6.88
he,4.53,6.9
head,5.69,6.62
headlight,6.43,5.78
headquarters,5.03,4.69
headstrong,3.66,4.67
health,4.1,6.33
hear,3.53,6.54
hearing,3.77,6.16
heaven,4.13,5.73
heavy,4.91,6.41
hectic,3.63,4.27
help,0,6.25
helpful,3.06,5.82
henchman,4.67,2.53
herded,4.06,3.63
here,1.88,6.69
heredity,3.53,5.47
hermit,5.56,3.98
heroism,4.17,4.78
hesitant,3.34,4.9
hesitate,3.16,5.85
hexagon,0,3.53
hidden,3.16,5.63
hide,3.8,5.19
hierarchy,5.13,3.53
high,4.16,6.74
hillside,6.3,5.09
him,4.47,6.73
hindrance,3.07,3.8
hint,2.57,5.89
his,2.88,6.83
history,3.47,6.17
hold,3.22,6.46
hollow,4.75,5.6
home,6.5,6.65
homicide,4.17,4.69
honest,3.31,6.47
honeycomb,6.23,4.45
honour,3.5,5.82
hoof,6.37,4.2
hope,3.83,6.02
horn,0,5.27
horse,6.8,6.17
horsehair,5.67,3.78
horseshoe,0,4.59
hospital,6.53,6.06
hostage,5.57,4.37
hostile,4.53,5.33
hostility,4.23,5.12
hot,5.59,6.61
hotel,6.4,5.92
hotter,4.72,5.92
hound,6.27,4.73
hour,3.6,6.73
house,6.67,6.79
housed,3.69,4.98
how,1.5,6.65
however,1.34,6.04
humming,4.44,5.49
humorous,4.28,5.9
humour,4.57,6
hungry,5.06,6.45
hurdle,6.33,4.77
hurled,4.28,4.19
hurricane,6.33,4.46
hurt,4.28,5.98
husband,5.59,6.15
hybrid,3.63,3.75
hypothesis,2.4,4.85
hyssop,1.34,1.21
i,3.97,6.88
