string,blp.rt,blp.rt.zscore,blp.accuracy,blp.accuracy.zscore
kenya,600.1621622,-0.297645124,0.925,0.597082703
kenyan,751,0.718056659,0.447368421,-1.098270026
kenyans,730,0.858923807,0.725,-0.112817062
kepi,NA,NA,0,-2.686203711
kept,594.1351351,-0.231581768,0.973684211,0.769887253
kerbstone,739.5714286,0.900767086,0.368421053,-1.378493616
kerbstones,826.1428571,1.05693726,0.447368421,-1.098270026
kerchief,818.2307692,1.46428026,0.368421053,-1.378493616
kerchiefs,768,1.186282546,0.35,-1.443879122
kernel,644.3333333,0.114249262,0.710526316,-0.164191387
kernels,652.4571429,0.183833096,0.9,0.508345232
kersey,1276,2.291732439,0.052631579,-2.499387983
kestrel,747.6428571,0.610906376,0.736842105,-0.070783524
kestrels,733.1818182,0.544089153,0.825,0.24213282
ketch,678,1.367680217,0.075,-2.419991299
ketches,648.4,0.0371847,0.131578947,-2.219164393
ketchup,569.5,-0.369863126,1,0.863295115
kettle,540.7105263,-0.555928015,1,0.863295115
kettles,560.7692308,-0.397193319,0.975,0.774557644
key,483.2162162,-0.964261205,0.925,0.597082703
keyboard,603.7631579,-0.203757857,1,0.863295115
keyboards,569.3947368,-0.368218709,1,0.863295115
keyed,600.4545455,-0.119326488,0.875,0.419607762
keyhole,603.9230769,-0.199868046,0.975,0.774557644
keyholes,640.575,0.047878895,1,0.863295115
keying,588.1,-0.276787255,0.85,0.330870291
keyless,604.7419355,0.015221508,0.8,0.15339535
keynote,614.6,-0.150069239,0.9,0.508345232
keynotes,643.3870968,-0.03073187,0.815789474,0.209440069
keys,513.1315789,-0.779559552,1,0.863295115
keystone,666.375,-0.081867698,0.842105263,0.302847931
keystones,628.9375,0.070868665,0.825,0.24213282
khaki,698.037037,0.407748647,0.710526316,-0.164191387
kibbutz,825.1666667,0.851235303,0.15,-2.153778887
kibosh,688,1.351394812,0.075,-2.419991299
kick,519.6052632,-0.723127524,1,0.863295115
kickback,706.030303,0.379956825,0.825,0.24213282
kickbacks,673.6521739,0.275579215,0.657894737,-0.351007115
kicked,558.0540541,-0.432961397,1,0.863295115
kicker,691.1818182,0.152819074,0.894736842,0.489663659
kickers,606.5833333,-0.140992796,0.9,0.508345232
kicking,556.5675676,-0.466123408,1,0.863295115
kickoff,699.1724138,0.094972781,0.868421053,0.396255797
kickoffs,748.5294118,0.673989083,0.85,0.330870291
kicks,563.8684211,-0.508531341,1,0.863295115
kid,522.3846154,-0.81356596,0.975,0.774557644
kidded,745.8695652,0.581379127,0.657894737,-0.351007115
kidder,684.7222222,0.103306006,0.578947368,-0.631230708
kiddies,700.5151515,0.334662034,0.868421053,0.396255797
kidding,561.1666667,-0.430257322,0.947368421,0.676479387
kiddy,716.92,0.721999519,0.684210526,-0.257599252
kidnap,578.325,-0.331060625,1,0.863295115
kidnapped,615.4736842,-0.165855576,1,0.863295115
kidnaps,589.1315789,-0.393779244,1,0.863295115
kidney,523.075,-0.620043813,1,0.863295115
kidneys,550.7837838,-0.536252633,0.973684211,0.769887253
kids,484.7692308,-0.920737368,0.975,0.774557644
kike,874,2.309126576,0.125,-2.242516358
kikes,885.8,1.351619739,0.125,-2.242516358
kill,505.9473684,-0.801929477,1,0.863295115
killed,525.3684211,-0.732780971,1,0.863295115
killer,505.275,-0.788112808,1,0.863295115
killers,537.0789474,-0.674004342,1,0.863295115
killing,569.85,-0.331109286,1,0.863295115
